File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,Control::set_format( const char * const name ),4,4,4,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::Features( const Blob & b_ ),1,1,1,0,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::hbars() const,45,44,30,13,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::vbars() const,45,44,32,11,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::segments_in_row( const int row ) const,17,16,10,6,1,3,0,13,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::segments_in_col( const int col ) const,17,16,10,6,1,3,0,13,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,"Features::col_segment( const int row, const int col ) const",6,6,4,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,Features::test_misc( const Rectangle & charbox ) const,84,75,27,29,9,2,0,8,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_235Esz( const Charset & charset ) const,114,110,68,42,4,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_CEFIJLlT( const Charset & charset ) const,171,166,65,65,5,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_c() const,28,23,11,8,5,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_frst( const Rectangle & charbox ) const,110,107,47,38,3,1,0,4,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_G() const,32,31,20,14,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_HKMNUuvwYy( const Rectangle & charbox ) const,116,116,61,45,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_hknwx( const Rectangle & charbox ) const,41,36,19,15,4,0,1,4,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_s_cedilla() const,26,24,15,9,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_comma() const,18,17,11,11,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_easy( const Rectangle & charbox ) const,14,13,8,7,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_line( const Rectangle & charbox ) const,59,57,32,30,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,Features::test_solid( const Rectangle & charbox ) const,64,59,34,28,5,1,0,1,
