File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_converters_43_inl.h,69,51,4,4,9,1,9,28,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_converters_pre_43_inl.h,43,27,2,2,9,1,7,22,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_define_own_property_helper.h,30,17,3,2,6,5,7,33,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_implementation_12_inl.h,431,324,135,51,73,3,34,126,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_implementation_pre_12_inl.h,264,169,81,35,64,3,31,114,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_json.h,167,135,59,10,24,15,8,50,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_maybe_43_inl.h,357,308,161,46,42,2,7,23,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_maybe_pre_43_inl.h,269,215,88,39,47,5,7,26,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_new.h,341,259,135,22,66,6,16,87,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_object_wrap.h,157,101,62,5,33,2,23,157,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_persistent_12_inl.h,133,99,42,1,27,4,7,25,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_persistent_pre_12_inl.h,243,180,109,13,44,4,19,53,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_private.h,74,59,32,9,8,1,7,22,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_string_bytes.h,306,213,156,40,66,2,27,224,20,169
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_typedarray_contents.h,91,63,35,4,20,1,8,25,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan\nan_weak.h,438,405,179,21,26,1,7,22,7,21
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\lib\Find-VS2017.cs,274,211,96,15,56,2,7,36,5,27
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\src\win_delay_load_hook.cc,37,19,7,5,10,0,8,63,8,63
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\binding.cpp,359,274,205,27,82,0,3,13,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\create_string.cpp,22,18,11,5,4,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\custom_function_bridge.cpp,28,22,13,5,6,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\custom_importer_bridge.cpp,103,80,58,18,23,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\sass_context_wrapper.cpp,68,55,41,6,13,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\callback_bridge.h,229,138,96,12,39,0,52,306,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\create_string.h,9,5,1,0,4,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\custom_function_bridge.h,19,14,5,0,5,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\custom_importer_bridge.h,23,17,8,0,6,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\sass_context_wrapper.h,58,42,27,0,12,0,4,10,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\contrib\plugin.cpp,61,37,22,5,7,0,17,111,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass.h,16,9,0,0,5,0,2,6,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass2scss.h,120,62,24,0,23,2,35,128,5,15
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass\base.h,90,58,10,0,19,2,13,82,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass\context.h,171,116,100,0,29,5,26,200,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass\functions.h,140,83,67,0,27,1,30,236,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass\values.h,146,93,66,0,25,5,28,215,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass\version.h,13,9,0,0,4,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\ast.cpp,2157,1715,1145,540,209,7,233,1321,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\ast_fwd_decl.cpp,30,25,3,2,5,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\backtrace.cpp,47,30,26,3,13,0,4,29,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\base64vlq.cpp,42,31,24,6,11,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\bind.cpp,312,245,150,45,25,2,42,306,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\check_nesting.cpp,399,302,143,63,71,0,26,91,0,0
